subdomain,is_reachable
COE.rtve.es,False
_dmarc.rtve.es,False
adi.rtve.es,True
admform.rtve.es,True
ads.rtve.es,False
alacarta.rtve.es,True
algopequenito.rtve.es,True
amp.pre.rtve.es,True
amp.rtve.es,True
angel.fernandez.rtve.es,False
api.rtve.es,True
api.tcdn.rtve.es,True
aquihaytrabajo.rtve.es,False
armmdm.rtve.es,False
aula.rtve.es,True
autodiscover.rtve.es,True
av.rtve.es,False
bbb.rtve.es,False
blog.rtve.es,True
blogchojin.rtve.es,True
boletin.rtve.es,False
cabecerarne.rtve.es,False
cantaelgordo.rtve.es,True
cantasingstar.rtve.es,False
centrosemisores.rtve.es,False
clan.rtve.es,True
cocinartvevoice.rtve.es,True
coe.rtve.es,False
colaboracion.comercial.rtve.es,False
comercial.rtve.es,False
convocatoriaempleo.rtve.es,False
copa-davis.rtve.es,False
correo.rtve.es,False
cyr.rtve.es,False
datos.rtve.es,True
datos1.rtve.es,True
datos2.rtve.es,True
datos3.rtve.es,True
datos4.rtve.es,True
design.lab.rtve.es,True
elecciones-catalanas.rtve.es,False
elreydelacomedia.rtve.es,True
emisionfm.rtve.es,False
emociones.rtve.es,True
encuesta.rtve.es,True
estaticos.blogs.rtve.es,False
estiloweb.rtve.es,True
extapp.rtve.es,True
extra.rtve.es,True
extranet.rtve.es,False
file.rtve.es,False
files.rtve.es,False
flash.1.multimedia.cdn.rtve.es,True
flash.2.multimedia.cdn.rtve.es,True
flash1.akamaihd.net.rtve.es,True
flybar.rtve.es,False
form.rtve.es,True
formacion.rtve.es,True
foro-14-de-abril-la-republica.rtve.es,True
foro-en-nombre-del-amor.rtve.es,True
foro-gran-reserva.rtve.es,False
foroasuntospropios.rtve.es,True
forobolonia.rtve.es,True
forocorocarcel.rtve.es,True
forocuentame.rtve.es,True
foroeltiempo.rtve.es,True
foroenconstruccion.rtve.es,True
foroeurovision.rtve.es,True
foroguanteblanco.rtve.es,True
foroherederos.rtve.es,True
forohistoria.rtve.es,True
forolasenora.rtve.es,False
foropelotas.rtve.es,True
foropluton.rtve.es,True
fororadio3.rtve.es,True
fororadioclasica.rtve.es,True
foroviajes.rtve.es,True
ftp.rtve.es,False
generation-what.rtve.es,True
git.lab.rtve.es,True
hbbtv-pre.rtve.es,False
hbbtv.rtve.es,True
hlsackdn-gl7.rtve.es,True
hlsackdn-gl8.rtve.es,True
i.rtve.es,True
img.pre.rtve.es,True
img.rtve.es,True
innova.rtve.es,False
intranere.rtve.es,True
iphone.rtve.es,True
iphonelive.rtve.es,True
js.rtve.es,True
juegocarlos.rtve.es,True
juegos.rtve.es,True
karaokeeurovision2008.rtve.es,True
l3-onlinefs.rtve.es,True
l3.rtve.es,True
lab.pre.rtve.es,True
lab.rtve.es,True
lavilla.rtve.es,False
licitaciones-pre.rtve.es,True
licitaciones.rtve.es,True
llevoelgordo.rtve.es,False
logs.rtve.es,True
m.rtve.es,True
manualdeestilo.rtve.es,True
mapas-union-europea.rtve.es,False
marker.data.rtve.es,True
mc.rtve.es,False
mdm.rtve.es,False
media-director.rtve.es,True
media-lab-pre.rtve.es,True
media-lab.rtve.es,False
media.rtve.es,True
muchachadanui.rtve.es,True
murodeberlin.rtve.es,True
mvod.akcdn.rtve.es,True
mvod.lvlt.rtve.es,True
mvod.lvlt</li>
 <li>mvod.tcdn.rtve.es,False
mvod1.akcdn.rtve.es,True
mvod2.lvlt.rtve.es,True
mvodt.lvlt.rtve.es,True
nubeproductoras.rtve.es,True
origen-www.rtve.es,False
origin-codigodeautorregulacion.rtve.es,True
origin-estiloweb.rtve.es,True
origin-lab-pre.rtve.es,True
origin-lab.rtve.es,True
origin-resultados-elecciones-generales2015.rtve.es,True
origin-resultados-elecciones-morecurrent.rtve.es,True
participa.rtve.es,True
participacion.rtve.es,True
participaradio5.rtve.es,True
planamerica.rtve.es,False
pluton.rtve.es,True
pop.rtve.es,False
pre.rtve.es,False
precdn.rtve.es,True
premier.rtve.es,True
radio3.rtve.es,True
resultados-elecciones-europeas-2009.rtve.es,True
resultados-elecciones.rtve.es,True
rio2016.rtve.es,True
rne.rtve.es,True
rtveplay-pre.rtve.es,True
s01vod.akcdn.rtve.es,True
sadbmetrics.rtve.es,True
search.rtve.es,True
secure-api.rtve.es,True
secure-embed.rtve.es,True
secure.rtve.es,True
secure2.rtve.es,True
smtrpoycp.rtve.es,False
static.rtve.es,True
static1.rtve.es,True
static2.rtve.es,True
subtitulo.rtve.es,True
swf.rtve.es,True
test1.rtve.es,False
test3.rtve.es,False
testcdn.rtve.es,True
tienda.rtve.es,True
tks.rtve.es,False
twitter-oscar.rtve.es,True
users.rtve.es,True
video.lab.rtve.es,True
vod41.1.hd4flash.cdn.rtve.es,True
vod47.2.hd4flash.cdn.rtve.es,True
votoseurovision.rtve.es,True
vpn-via.rtve.es,False
w.rtve.es,True
wifiinvitados.rtve.es,False
ww.rtve.es,True
www-es.rtve.es,True
www-org2.rtve.es,True
www-org3.rtve.es,True
www.eurovision2008.rtve.es,True
www.pre.rtve.es,True
www.rtve.es,True
www3.rtve.es,True
wwwbeta.rtve.es,True
wwww.rtve.es,True
ztnr-pre.rtve.es,True
ztnr.pre.rtve.es,True
ztnr.rtve.es,True
